NAME,TIME,AID
PRK,2023,6225
ATG,2023,36240
TUV,2023,38950
KIR,2023,82618
SUR,2023,114500
CPV,2023,140494
CRI,2023,159997
WSM,2023,163679
GRD,2023,259389
LCA,2023,274516
VCT,2023,362183
BTN,2023,548487
GAB,2023,561965
MDV,2023,763460
BLZ,2023,796693
TON,2023,1263100
JAM,2023,1291977
ARG,2023,1319287
ERI,2023,1637790
WLF,2023,1653284
KAZ,2023,1756639
MHL,2023,1958186
VEN,2023,2051909
FSM,2023,2107665
PER,2023,2113143
STP,2023,2116188
SLV,2023,2132214
MUS,2023,2145771
KGZ,2023,2190433
MYS,2023,2385857
COM,2023,2449130
IND,2023,2838999
SLB,2023,2917842
DOM,2023,3206532
THA,2023,3400298
CUB,2023,3622993
BWA,2023,3785319
ECU,2023,3885447
VUT,2023,3909999
GUY,2023,4013817
MEX,2023,4344603
BRA,2023,4559854
FJI,2023,4652096
LAO,2023,4672511
AZE,2023,5432618
NIC,2023,5549375
LSO,2023,5599450
PRY,2023,5630297
BLR,2023,5875773
HND,2023,5881396
MNG,2023,5979019
VNM,2023,6041718
CHN,2023,6309952
GIN,2023,6339684
NAM,2023,6418085
SWZ,2023,6421285
TLS,2023,7514257
IDN,2023,7612610
UZB,2023,8402085
BEN,2023,8895686
HTI,2023,9248707
ZAF,2023,9257950
DJI,2023,10019612
GMB,2023,10628769
DZA,2023,10952433
GHA,2023,10982424
AGO,2023,11422589
BDI,2023,11663678
SSD,2023,11721537
CMR,2023,11761453
ZWE,2023,12276076
BFA,2023,13274180
IRN,2023,13355737
JOR,2023,13762247
KHM,2023,13851314
GNB,2023,14021924
SDN,2023,14858854
GTM,2023,15019141
COG,2023,15295201
LBY,2023,16726015
TGO,2023,16780338
LKA,2023,16800475
LBR,2023,17373870
COL,2023,17567415
NGA,2023,17994286
TCD,2023,18328600
MRT,2023,19198614
PAK,2023,19533055
SOM,2023,21734751
PHL,2023,21758072
SLE,2023,21809316
CIV,2023,22151988
PNG,2023,22990425
MWI,2023,23339207
NPL,2023,24218364
RWA,2023,24267862
BOL,2023,24609312
EGY,2023,26208567
SEN,2023,26442724
MDA,2023,27081251
GEO,2023,29522979
YEM,2023,29713236
TJK,2023,31558664
AFG,2023,31789908
MKD,2023,32896669
MNE,2023,32896669
ZMB,2023,33345037
MMR,2023,33473827
MLI,2023,34071255
UGA,2023,34381034
IRQ,2023,34560514
ARM,2023,34790947
ETH,2023,35229792
KEN,2023,45506670
CAF,2023,47457096
MDG,2023,53479814
COD,2023,53820427
BGD,2023,59311454
TUN,2023,59973210
NER,2023,68540558
MAR,2023,76258967
BIH,2023,80094812
TZA,2023,83619607
XKX,2023,86352358
MOZ,2023,88375455
MKD,2023,92633695
SYR,2023,111549384
LBN,2023,116336361
ALB,2023,124549582
UKR,2023,135121334
PSE,2023,185632684
SRB,2023,225771193
TUR,2023,595517639
TON,2022,18132
NIU,2022,51350
VCT,2022,201481
NRU,2022,202012
WSM,2022,283597
PRK,2022,358471
FSM,2022,428601
GRD,2022,435019
GNQ,2022,479394
KAZ,2022,628831
MHL,2022,693474
GUY,2022,698009
PLW,2022,821816
TUV,2022,900512
TKM,2022,915066
ERI,2022,1094492
MSR,2022,2020982
WLF,2022,2201921
MDV,2022,2223734
BWA,2022,2346740
SHN,2022,2350000
LCA,2022,2388906
SUR,2022,2400672
BTN,2022,3120912
GAB,2022,3284500
SLB,2022,3287762
PAN,2022,3440478
BLZ,2022,3552725
MYS,2022,3795666
