NAME,TIME,DISTANCE
VAT,2023,1171580.13762103
SMR,2023,980288.952698828
LIE,2023,559637.576129932
FSM,2023,13131612.2300428
MHL,2023,13465640.6997942
TUV,2023,15288546.0938844
PLW,2023,11986487.7359203
MCO,2023,822262.653255492
KIR,2023,14123959.6002227
COM,2023,7885949.31247121
AND,2023,949760.544652496
TTO,2023,7406590.09532282
RWA,2023,6339643.57162757
SWZ,2023,8943261.69373481
SSD,2023,5696146.38605587
QAT,2023,4899080.52570481
MNE,2023,1469203.71655355
CHE,2023,492639.082484463
XKX,2023,1568602.59476564
DMA,2023,7001722.49663321
DJI,2023,5595716.89289519
GMB,2023,4556590.35379038
MKD,2023,1634520.44565129
BRB,2023,7065707.49110141
BDI,2023,6463780.48718905
VCT,2023,7171890.31200742
LCA,2023,7083711.34016577
KNA,2023,6926894.79130755
MUS,2023,9424743.92682941
GRD,2023,7302057.53671528
BHR,2023,4757138.81084646
ATG,2023,6881597.59397154
URY,2023,11191906.8098848
TGO,2023,4963914.62926451
TUN,2023,1627264.1837345
ARE,2023,5158218.87107916
TKM,2023,4427307.01619166
ZMB,2023,7701673.19102321
ZWE,2023,8040798.32799701
TLS,2023,12907658.5786806
VUT,2023,16068688.2330773
HND,2023,8913351.88547528
GUY,2023,7513055.23487352
ISL,2023,2134020.25935711
HTI,2023,7500842.21914513
UGA,2023,6201034.88993771
SUR,2023,7398864.27716641
NER,2023,4143527.56276958
TJK,2023,5112867.04172797
PRY,2023,10386742.5377131
NIC,2023,9012855.84149194
SLE,2023,4967961.86979296
PAK,2023,5755330.58123904
NPL,2023,7059572.74069664
ZAF,2023,9114845.2387923
ZAF,2023,8797889.8750031
PNG,2023,14304696.6563222
SLB,2023,14902450.4130928
PAN,2023,8810654.83964328
MAR,2023,2075746.45888378
MDA,2023,1838029.15159367
MOZ,2023,8948038.95437669
SOM,2023,6631362.44572051
OMN,2023,5504893.97984964
LKA,2023,8397920.78878694
MNG,2023,6814871.80067105
NAM,2023,8226771.64152894
NGA,2023,4641579.21651696
GNB,2023,4686336.63414894
JOR,2023,3330485.75517887
KGZ,2023,5224007.34849487
LSO,2023,9165863.47394746
MDG,2023,8803579.29249413
ECU,2023,9522853.954921
CRI,2023,9048605.72623559
SLV,2023,9085482.97256219
JAM,2023,7859037.45880905
TCD,2023,4403194.32082641
GNQ,2023,5235732.32180448
ERI,2023,5006793.25414638
MWI,2023,7731102.32421225
GTM,2023,9097448.37215555
GAB,2023,5612135.11468035
FJI,2023,16338868.742302
MRT,2023,4054181.72141903
MLI,2023,4379998.1769232
LBN,2023,3146962.71004505
GEO,2023,3231990.6387812
KAZ,2023,4539600.4606253
LAO,2023,9042973.55042227
COG,2023,6193798.82874145
GIN,2023,4868779.99343206
CIV,2023,4960438.73317832
CAN,2023,5690557.45715581
SRB,2023,1376614.87893859
BRN,2023,11009540.4917779
BOL,2023,10277319.3424962
BLZ,2023,8753220.48246454
CAF,2023,5319679.76090142
CMR,2023,5249245.18823124
ALB,2023,1591669.05099106
ARM,2023,3306842.51614599
AZE,2023,3669739.31320715
KHM,2023,9752045.27698672
BOL,2023,10235782.4280281
BEN,2023,4933397.61281998
BLR,2023,1611055.69159271
BTN,2023,7375321.55570505
BWA,2023,8625944.75008527
AUS,2023,16714129.139192
BFA,2023,4298603.87899921
BIH,2023,1311963.81681785
MMR,2023,8451208.92041675
TON,2023,16708354.6168775
SOM,2023,5840433.06908975
SYC,2023,7834533.66098228
STP,2023,5601041.90677498
WSM,2023,15885391.182995
MDV,2023,8196133.6626235
ISR,2023,3299618.94558762
CPV,2023,4702151.17170244
BHS,2023,7318463.91576034
NZL,2023,18718433.1494219
VNM,2023,8994270.28242011
TUR,2023,2519559.5878406
YEM,2023,5304284.46168348
SYR,2023,3227431.479877
SDN,2023,4652241.7950681
NOR,2023,1088776.24327453
PRK,2023,8535960.75035763
TZA,2023,7211891.80678046
LBR,2023,5131537.13762644
MYS,2023,10256037.5638773
CUB,2023,7823081.29996835
KWT,2023,4328048.14844455
DOM,2023,7337187.3227442
GHA,2023,5037692.01800207
LBY,2023,2120354.04408503
CIV,2023,5104826.82280221
BRA,2023,8957315.01005131
BGD,2023,7731868.61490007
AGO,2023,6666629.08005391
