NAME,TIME,RISK
AFG,2020,8.1
AGO,2020,5
ARE,2020,1.7
ARG,2020,2.8
ARM,2020,3.5
ATG,2020,2.3
AUS,2020,2.4
AUT,2020,1.8
BDI,2020,6
BEN,2020,3.8
BFA,2020,6.4
BGD,2020,5.6
BGR,2020,2.4
BHR,2020,1.4
BLR,2020,1.5
BOL,2020,3.8
BRA,2020,4.9
BRB,2020,1.9
BRN,2020,1.7
BTN,2020,3.2
BWA,2020,2.9
CAN,2020,2.4
CHE,2020,1.4
CHL,2020,2.6
CHN,2020,3.7
CIV,2020,4.6
CMR,2020,6.6
COD,2020,7.7
COL,2020,5.3
COM,2020,3.8
CPV,2020,2.2
CRI,2020,3.2
CUB,2020,3
CZE,2020,1.1
DEU,2020,2.1
DJI,2020,5.2
DNK,2020,1.2
DOM,2020,4.1
DZA,2020,3.8
ECU,2020,4.4
EGY,2020,5
ESP,2020,2.1
ETH,2020,6.8
FIN,2020,0.9
FJI,2020,2.7
FRA,2020,2.4
FSM,2020,3.9
GAB,2020,3.1
GBR,2020,2
GEO,2020,3.3
GHA,2020,3.6
GIN,2020,4.5
GMB,2020,3.6
GNB,2020,3.8
GRC,2020,2.8
GRD,2020,1.7
GTM,2020,5.2
HND,2020,4.9
HRV,2020,2.1
HTI,2020,6.1
HUN,2020,1.8
IDN,2020,4.7
IND,2020,5.4
IRN,2020,5.4
IRQ,2020,6.7
ITA,2020,2.5
JAM,2020,3
JOR,2020,4.2
JPN,2020,2.3
KAZ,2020,1.8
KEN,2020,6
KGZ,2020,3.1
KHM,2020,4.5
KNA,2020,1.9
KOR,2020,2
LAO,2020,4.2
LBN,2020,4.4
LCA,2020,2.3
LKA,2020,3.6
LSO,2020,3.9
MAR,2020,3.5
MDA,2020,2.7
MDG,2020,5.1
MDV,2020,2.3
MEX,2020,5.3
MHL,2020,3.8
MKD,2020,2.3
MLI,2020,6
MMR,2020,6.2
MNE,2020,2.3
MNG,2020,2.7
MOZ,2020,6.6
MRT,2020,5.1
MUS,2020,2.1
MWI,2020,4.6
MYS,2020,3
NAM,2020,4.2
NER,2020,7.2
NGA,2020,6.5
NIC,2020,4.3
NLD,2020,1.4
NOR,2020,1
NPL,2020,4.4
NRU,2020,3.2
NZL,2020,1.5
PAK,2020,6
PAN,2020,3.8
PER,2020,4.7
PHL,2020,5.4
PLW,2020,2.3
PNG,2020,5.6
POL,2020,1.7
PRT,2020,1.5
PRY,2020,2.8
PSE,2020,5.1
QAT,2020,1.4
ROU,2020,2.3
RWA,2020,4.8
SDN,2020,6.7
SEN,2020,4.1
SGP,2020,0.5
SLB,2020,4.5
SLE,2020,4.5
SLV,2020,4.3
SRB,2020,2.8
SVK,2020,1.5
SVN,2020,1.2
SWE,2020,1.4
SWZ,2020,3.4
SYC,2020,1.7
SYR,2020,7
TGO,2020,4.1
THA,2020,4.1
TJK,2020,4.1
TLS,2020,3.9
TON,2020,3.8
TTO,2020,2.7
TUN,2020,3
TUR,2020,4.9
TZA,2020,5.6
URY,2020,1.7
USA,2020,3.2
UZB,2020,2.8
VEN,2020,4.7
VNM,2020,3.5
VUT,2020,4
WSM,2020,3
YEM,2020,8.2
ZAF,2020,3.9
ZMB,2020,4.2
ZWE,2020,4.8
ALB,2020,3.1
AZE,2020,4.4
BEL,2020,1.7
BHS,2020,2.2
BIH,2020,3.4
CAF,2020,7.8
COG,2020,5.3
CYP,2020,2.9
DMA,2020,3.5
ERI,2020,4.2
EST,2020,0.9
GNQ,2020,3.4
GUY,2020,3.6
IRL,2020,1.5
ISL,2020,1.2
ISR,2020,2.2
KWT,2020,1.8
LBR,2020,4.8
LBY,2020,6.6
LTU,2020,1.3
LUX,2020,1
LVA,2020,1.4
MLT,2020,1.9
OMN,2020,2.5
PRK,2020,4.6
RUS,2020,3.6
SAU,2020,2.1
SOM,2020,8.8
SSD,2020,8.2
STP,2020,2.4
SUR,2020,3.1
TCD,2020,7.2
TKM,2020,2.4
UGA,2020,6.2
UKR,2020,4.5
VCT,2020,2.2
BLZ,2020,3.7
KIR,2020,3.5
LIE,2020,0.8
TUV,2020,3.1
AFG,2019,8.1
AGO,2019,5.3
ARE,2019,1.7
ARG,2019,2.4
ARM,2019,3.1
ATG,2019,2.3
AUS,2019,2.4
AUT,2019,1.8
BDI,2019,6
BEN,2019,3.8
BFA,2019,5.4
BGD,2019,5.7
BGR,2019,2.4
BHR,2019,1.4
BLR,2019,1.5
BOL,2019,3.5
BRA,2019,4.4
BRB,2019,1.9
BRN,2019,1.8
BTN,2019,3.2
BWA,2019,3
CAN,2019,2.4
CHE,2019,1.4
CHL,2019,2.7
CHN,2019,3.8
CIV,2019,4.7
CMR,2019,5.9
COD,2019,7
COL,2019,5.4
COM,2019,3.8
CPV,2019,2.2
CRI,2019,3
CUB,2019,3
CZE,2019,1.2
DEU,2019,2.1
DJI,2019,4.9
DNK,2019,1.2
DOM,2019,3.7
DZA,2019,3.9
ECU,2019,4
EGY,2019,5.1
ESP,2019,2.1
ETH,2019,6.9
FIN,2019,0.9
FJI,2019,2.7
FRA,2019,2.3
FSM,2019,4.2
GAB,2019,3.1
GBR,2019,1.9
GEO,2019,3.3
GHA,2019,3.6
GIN,2019,4.4
GMB,2019,3.6
GNB,2019,3.9
GRC,2019,2.9
GRD,2019,1.8
GTM,2019,5.2
HND,2019,4.9
HRV,2019,2.1
HTI,2019,6.3
HUN,2019,1.8
IDN,2019,4.2
IND,2019,5.4
IRN,2019,5
IRQ,2019,7
ITA,2019,2.5
JAM,2019,3
JOR,2019,4.3
JPN,2019,2.3
KAZ,2019,1.8
KEN,2019,5.9
KGZ,2019,3.1
KHM,2019,4.4
KNA,2019,1.8
KOR,2019,2
LAO,2019,4.6
LBN,2019,4.6
LCA,2019,2.3
LKA,2019,3.6
LSO,2019,3.8
MAR,2019,3.6
MDA,2019,2.7
