NAME,TIME,STABILITY
AFG,2014,-2.41
AFG,2015,-2.57
AFG,2016,-2.67
AFG,2017,-2.8
AFG,2018,-2.76
AFG,2019,-2.66
AFG,2020,-2.71
AFG,2021,-2.53
ALB,2014,0.49
ALB,2015,0.35
ALB,2016,0.34
ALB,2017,0.38
ALB,2018,0.37
ALB,2019,0.11
ALB,2020,0.09
ALB,2021,0.11
DZA,2014,-1.19
DZA,2015,-1.09
DZA,2016,-1.1
DZA,2017,-0.92
DZA,2018,-0.84
DZA,2019,-1.04
DZA,2020,-0.84
DZA,2021,-0.88
ASM,2014,1.08
ASM,2015,1.18
ASM,2016,1.19
ASM,2017,1.22
ASM,2018,1.22
ASM,2019,1.17
ASM,2020,1.17
ASM,2021,1.05
AND,2014,1.29
AND,2015,1.39
AND,2016,1.41
AND,2017,1.42
AND,2018,1.42
AND,2019,1.6
AND,2020,1.62
AND,2021,1.63
AGO,2014,-0.33
AGO,2015,-0.5
AGO,2016,-0.32
AGO,2017,-0.38
AGO,2018,-0.34
AGO,2019,-0.36
AGO,2020,-0.51
AGO,2021,-0.71
ATG,2014,0.98
ATG,2015,1
ATG,2016,0.88
ATG,2017,0.75
ATG,2018,0.84
ATG,2019,0.95
ATG,2020,0.94
ATG,2021,0.96
ARG,2014,-0.01
ARG,2015,0.01
ARG,2016,0.2
ARG,2017,0.17
ARG,2018,0.01
ARG,2019,-0.09
ARG,2020,-0.08
ARG,2021,-0.11
ARM,2014,-0.3
ARM,2015,-0.25
ARM,2016,-0.66
ARM,2017,-0.62
ARM,2018,-0.44
ARM,2019,-0.41
ARM,2020,-0.76
ARM,2021,-0.84
AUS,2014,1.03
AUS,2015,0.88
AUS,2016,1.05
AUS,2017,0.9
AUS,2018,0.99
AUS,2019,0.91
AUS,2020,0.85
AUS,2021,0.85
AUT,2014,1.27
AUT,2015,1.14
AUT,2016,0.91
AUT,2017,1.05
AUT,2018,0.9
AUT,2019,0.92
AUT,2020,0.91
AUT,2021,0.91
AZE,2014,-0.56
AZE,2015,-0.73
AZE,2016,-0.8
AZE,2017,-0.75
AZE,2018,-0.71
AZE,2019,-0.69
AZE,2020,-0.84
AZE,2021,-0.85
BHS,2014,0.96
BHS,2015,0.91
BHS,2016,0.98
BHS,2017,0.99
BHS,2018,0.86
BHS,2019,0.82
BHS,2020,0.85
BHS,2021,0.88
BHR,2014,-0.91
BHR,2015,-1.07
BHR,2016,-0.79
BHR,2017,-0.96
BHR,2018,-0.85
BHR,2019,-0.63
BHR,2020,-0.62
BHR,2021,-0.51
BGD,2014,-0.9
BGD,2015,-1.21
BGD,2016,-1.26
BGD,2017,-1.26
BGD,2018,-1
BGD,2019,-0.93
BGD,2020,-0.92
BGD,2021,-0.97
BRB,2014,1.28
BRB,2015,1.14
BRB,2016,0.98
BRB,2017,0.97
BRB,2018,0.91
BRB,2019,1.05
BRB,2020,1.13
BRB,2021,1.12
BLR,2014,0.18
BLR,2015,0.11
BLR,2016,0.14
BLR,2017,-0.05
BLR,2018,0.35
BLR,2019,0.33
BLR,2020,-0.9
BLR,2021,-0.74
BEL,2014,0.7
BEL,2015,0.59
BEL,2016,0.44
BEL,2017,0.43
BEL,2018,0.4
BEL,2019,0.47
BEL,2020,0.54
BEL,2021,0.61
BLZ,2014,0.05
BLZ,2015,0.04
BLZ,2016,0.06
BLZ,2017,0.04
BLZ,2018,0
BLZ,2019,0.06
BLZ,2020,0.52
BLZ,2021,0.46
BEN,2014,0.03
BEN,2015,-0.01
BEN,2016,0
BEN,2017,0.03
BEN,2018,-0.14
BEN,2019,-0.41
BEN,2020,-0.43
BEN,2021,-0.3
BMU,2014,0.91
BMU,2015,0.98
BMU,2016,1
BMU,2017,1
BMU,2018,1.15
BMU,2019,1.07
BMU,2020,1.01
BMU,2021,1.01
BTN,2014,1.07
BTN,2015,0.97
BTN,2016,1.12
BTN,2017,1.12
BTN,2018,1.09
BTN,2019,1.08
BTN,2020,1.02
BTN,2021,0.97
BOL,2014,-0.33
BOL,2015,-0.27
BOL,2016,-0.25
BOL,2017,-0.28
BOL,2018,-0.29
BOL,2019,-0.73
BOL,2020,-0.46
BOL,2021,-0.32
BIH,2014,-0.02
BIH,2015,-0.4
BIH,2016,-0.4
BIH,2017,-0.35
BIH,2018,-0.4
BIH,2019,-0.42
BIH,2020,-0.44
BIH,2021,-0.38
BWA,2014,1.01
BWA,2015,1.04
BWA,2016,0.99
BWA,2017,1.02
BWA,2018,0.97
BWA,2019,1.11
BWA,2020,1.03
BWA,2021,0.98
BRA,2014,-0.07
BRA,2015,-0.33
BRA,2016,-0.38
BRA,2017,-0.47
BRA,2018,-0.44
BRA,2019,-0.71
BRA,2020,-0.43
BRA,2021,-0.49
BRN,2014,1.26
BRN,2015,1.24
BRN,2016,1.15
BRN,2017,1.16
BRN,2018,1.24
BRN,2019,1.11
BRN,2020,1.18
BRN,2021,1.17
BGR,2014,0.08
BGR,2015,0.02
BGR,2016,0.08
BGR,2017,0.33
BGR,2018,0.46
BGR,2019,0.58
BGR,2020,0.42
BGR,2021,0.46
BFA,2014,-0.79
BFA,2015,-0.61
BFA,2016,-0.87
BFA,2017,-0.93
BFA,2018,-1.06
BFA,2019,-1.3
BFA,2020,-1.54
BFA,2021,-1.64
BDI,2014,-0.78
BDI,2015,-1.94
