NAME,TIME,UNDERNOURISHED
AFG,2014,6.8
AFG,2015,7.2
AFG,2016,7.6
AFG,2017,8.1
AFG,2018,8.8
AFG,2019,10.2
AFG,2020,11.2
AFG,2021,12
ALB,2014,0.1
ALB,2015,0.1
ALB,2016,0.1
ALB,2017,0.1
ALB,2018,0.1
ALB,2019,0.1
ALB,2020,0.1
ALB,2021,0.1
DZA,2014,1.1
DZA,2015,1
DZA,2016,1.1
DZA,2017,1.1
DZA,2018,0
DZA,2019,0
DZA,2020,0
DZA,2021,0
ASM,2014,0
ASM,2015,0
ASM,2016,0
ASM,2017,0
ASM,2018,0
ASM,2019,0
ASM,2020,0
ASM,2021,0
AND,2014,0
AND,2015,0
AND,2016,0
AND,2017,0
AND,2018,0
AND,2019,0
AND,2020,0
AND,2021,0
AGO,2014,3.4
AGO,2015,3.8
AGO,2016,4.2
AGO,2017,4.4
AGO,2018,4.8
AGO,2019,5.7
AGO,2020,6.7
AGO,2021,7.4
ATG,2014,0
ATG,2015,0
ATG,2016,0
ATG,2017,0
ATG,2018,0
ATG,2019,0
ATG,2020,0
ATG,2021,0
ARG,2014,1.1
ARG,2015,1.2
ARG,2016,1.3
ARG,2017,1.4
ARG,2018,1.5
ARG,2019,1.5
ARG,2020,1.5
ARG,2021,1.4
ARM,2014,0
ARM,2015,0
ARM,2016,0
ARM,2017,0
ARM,2018,0
ARM,2019,0
ARM,2020,0
ARM,2021,0
AUS,2014,0
AUS,2015,0
AUS,2016,0
AUS,2017,0
AUS,2018,0
AUS,2019,0
AUS,2020,0
AUS,2021,0
AUT,2014,0
AUT,2015,0
AUT,2016,0
AUT,2017,0
AUT,2018,0
AUT,2019,0
AUT,2020,0
AUT,2021,0
AZE,2014,0
AZE,2015,0
AZE,2016,0
AZE,2017,0
AZE,2018,0
AZE,2019,0
AZE,2020,0
AZE,2021,0
BHS,2014,0
BHS,2015,0
BHS,2016,0
BHS,2017,0
BHS,2018,0
BHS,2019,0
BHS,2020,0
BHS,2021,0
BHR,2014,0
BHR,2015,0
BHR,2016,0
BHR,2017,0
BHR,2018,0
BHR,2019,0
BHR,2020,0
BHR,2021,0
BGD,2014,23.1
BGD,2015,23.3
BGD,2016,22.8
BGD,2017,22
BGD,2018,20.7
BGD,2019,19.6
BGD,2020,19.5
BGD,2021,18.9
BRB,2014,0
BRB,2015,0
BRB,2016,0.05
BRB,2017,0.05
BRB,2018,0
BRB,2019,0
BRB,2020,0
BRB,2021,0
BLR,2014,0
BLR,2015,0
BLR,2016,0
BLR,2017,0
BLR,2018,0
BLR,2019,0
BLR,2020,0
BLR,2021,0
BEL,2014,0
BEL,2015,0
BEL,2016,0
BEL,2017,0
BEL,2018,0
BEL,2019,0
BEL,2020,0
BEL,2021,0
