NAME,TIME,WATER
AFG,2014,58.7
AFG,2015,61.3
AFG,2016,64.1
AFG,2017,66.8
AFG,2018,69.6
AFG,2019,72.4
AFG,2020,75.1
ALB,2014,93
ALB,2015,93.4
ALB,2016,93.8
ALB,2017,94.1
ALB,2018,94.4
ALB,2019,94.8
ALB,2020,95.1
DZA,2014,93.2
DZA,2015,93.4
DZA,2016,93.6
DZA,2017,93.8
DZA,2018,94
DZA,2019,94.2
DZA,2020,94.4
ASM,2014,99
ASM,2015,99
ASM,2016,99
ASM,2017,99
ASM,2018,99
ASM,2019,99
ASM,2020,99
AND,2014,99
AND,2015,99
AND,2016,99
AND,2017,99
AND,2018,99
AND,2019,99
AND,2020,99
AGO,2014,53.5
AGO,2015,54.3
AGO,2016,55.1
AGO,2017,55.8
AGO,2018,56.6
AGO,2019,56.9
AGO,2020,57.2
ATG,2014,96.7
ATG,2015,96.7
ATG,2016,96.7
ATG,2017,96.7
ARG,2014,98.9
ARG,2015,99
ARG,2016,99
ARM,2014,99
ARM,2015,99
ARM,2016,99
ARM,2017,99
ARM,2018,99
ARM,2019,99
ARM,2020,99
AUS,2014,99
AUS,2015,99
AUS,2016,99
AUS,2017,99
AUS,2018,99
AUS,2019,99
AUS,2020,99
AUT,2014,99
AUT,2015,99
AUT,2016,99
AUT,2017,99
AUT,2018,99
AUT,2019,99
AUT,2020,99
AZE,2014,91.2
AZE,2015,92.4
AZE,2016,93.2
AZE,2017,93.9
AZE,2018,94.7
AZE,2019,95.4
AZE,2020,96
BHS,2014,98.8
BHS,2015,98.9
BHS,2016,98.9
BHS,2017,98.9
BHS,2018,98.9
BHS,2019,98.9
BHR,2014,99
BHR,2015,99
BHR,2016,99
BHR,2017,99
BHR,2018,99
BHR,2019,99
BHR,2020,99
BGD,2014,97
BGD,2015,97.1
BGD,2016,97.2
BGD,2017,97.4
BGD,2018,97.5
BGD,2019,97.6
BGD,2020,97.7
BRB,2014,98.5
BRB,2015,98.5
BRB,2016,98.5
BRB,2017,98.5
BRB,2018,98.5
BRB,2019,98.5
BRB,2020,98.5
BLR,2014,96.5
BLR,2015,96.5
BLR,2016,96.5
BLR,2017,96.5
BLR,2018,96.5
BLR,2019,96.5
BLR,2020,96.5
BEL,2014,99
BEL,2015,99
BEL,2016,99
BEL,2017,99
BEL,2018,99
BEL,2019,99
BEL,2020,99
BLZ,2014,96.5
BLZ,2015,97.2
BLZ,2016,97.6
BLZ,2017,98
BLZ,2018,98.4
BLZ,2019,98.4
BLZ,2020,98.4
BEN,2014,64.6
BEN,2015,64.8
BEN,2016,64.9
BEN,2017,65.1
BEN,2018,65.2
BEN,2019,65.3
BEN,2020,65.4
BMU,2014,99
BMU,2015,99
BMU,2016,99
BMU,2017,99
BMU,2018,99
BMU,2019,99
BMU,2020,99
BTN,2014,95.4
BTN,2015,96.2
BTN,2016,96.8
BTN,2017,97.2
BTN,2018,97.3
BTN,2019,97.3
BTN,2020,97.3
BOL,2014,89.9
BOL,2015,90.5
BOL,2016,91.1
BOL,2017,91.7
BOL,2018,92.3
BOL,2019,92.8
BOL,2020,93.4
BIH,2014,96.2
BIH,2015,96.2
BIH,2016,96.2
BIH,2017,96.1
BIH,2018,96.1
BIH,2019,96.1
BIH,2020,96.1
BWA,2014,87.5
BWA,2015,88.4
BWA,2016,89.4
BWA,2017,90.3
BWA,2018,91.2
BWA,2019,92.1
BWA,2020,92.2
BRA,2014,97.6
BRA,2015,97.8
BRA,2016,98
BRA,2017,98.5
BRA,2018,98.7
BRA,2019,98.9
BRA,2020,99
BRN,2014,99
BRN,2015,99
BRN,2016,99
BRN,2017,99
BRN,2018,99
BRN,2019,99
BRN,2020,99
BGR,2014,99
BGR,2015,99
BGR,2016,99
BGR,2017,99
BGR,2018,99
BGR,2019,99
BGR,2020,99
BFA,2014,50.7
BFA,2015,50.1
BFA,2016,49.5
BFA,2017,49
BFA,2018,48.4
BFA,2019,47.8
BFA,2020,47.2
BDI,2014,59
BDI,2015,59.6
BDI,2016,60.2
BDI,2017,60.8
BDI,2018,61.5
BDI,2019,62.1
BDI,2020,62.2
CPV,2014,84.7
CPV,2015,85.4
CPV,2016,86.3
CPV,2017,87.1
CPV,2018,87.6
CPV,2019,88.2
CPV,2020,88.8
KHM,2014,67.8
KHM,2015,68.4
KHM,2016,69.1
KHM,2017,69.7
KHM,2018,70.3
KHM,2019,70.8
KHM,2020,71.2
CMR,2014,63.6
CMR,2015,64
CMR,2016,64.3
CMR,2017,64.7
CMR,2018,65
CMR,2019,65.4
CMR,2020,65.7
CAN,2014,99
CAN,2015,99
CAN,2016,99
CAN,2017,99
CAN,2018,99
CAN,2019,99
CAN,2020,99
CAF,2014,43.4
CAF,2015,42.3
CAF,2016,41.3
CAF,2017,40.2
CAF,2018,39.2
CAF,2019,38.2
CAF,2020,37.2
TCD,2014,44.1
TCD,2015,44.4
TCD,2016,44.7
TCD,2017,45.1
TCD,2018,45.5
TCD,2019,45.8
TCD,2020,46.2
CHL,2014,99
CHL,2015,99
CHL,2016,99
CHL,2017,99
CHL,2018,99
CHL,2019,99
CHL,2020,99
HKG,2014,99
HKG,2015,99
HKG,2016,99
HKG,2017,99
HKG,2018,99
HKG,2019,99
HKG,2020,99
MAC,2014,99
MAC,2015,99
MAC,2016,99
MAC,2017,99
MAC,2018,99
MAC,2019,99
MAC,2020,99
COL,2014,96
COL,2015,96.3
COL,2016,96.6
COL,2017,96.9
COL,2018,97.1
COL,2019,97.3
COL,2020,97.5
COM,2014,80.2
COM,2015,80.1
COM,2016,80.1
COM,2017,80.2
COM,2018,80.2
COM,2019,80.2
COG,2014,70.1
COG,2015,71.1
COG,2016,72.2
COG,2017,73.2
COG,2018,73.4
COG,2019,73.6
COG,2020,73.8
COK,2014,99
COK,2015,99
